,cant_carga,total_trips,demanda,latitude,longitude
168,20,1,20,-12.109937659539,-77.0200358703732
169,0,0,0,-12.1091489350467,-77.0238047093153
170,0,0,0,-12.1093092370959,-77.0236806571484
171,0,0,0,-12.1091486072305,-77.0237581059337
172,30,3,90,-12.109216137349,-77.0235230773687
173,0,0,0,-12.110518219595,-77.023507989943
174,0,0,0,-12.1111341822721,-77.0231760665774
175,0,0,0,-12.1112341654358,-77.0228873938322
176,0,0,0,-12.1128591324575,-77.0234697684646
177,0,0,0,-12.1131764538929,-77.0227506011724
178,0,0,0,-12.1107693253603,-77.0246687158942
179,0,0,0,-12.1105706699049,-77.0246817916632
180,0,0,0,-12.1109096297843,-77.0246663689613
181,0,0,0,-12.1111174637722,-77.0246408879757
182,0,0,0,-12.1138366648441,-77.0233587920666
183,0,0,0,-12.1139435310114,-77.0232528448105
184,0,0,0,-12.1144886789228,-77.0232863724232
185,0,0,0,-12.1147086390697,-77.0232374221087
186,10,3,30,-12.1157045219376,-77.0229638367891
187,0,0,0,-12.1082035115963,-77.0103688538074
188,0,0,0,-12.1083802050683,-77.0106156170368
189,0,5,0,-12.1084323279811,-77.010914683342
190,0,4,0,-12.108445112845,-77.0109207183123
191,0,0,0,-12.108445768479,-77.0109244063497
192,0,0,0,-12.1087175286447,-77.0111121609807
193,0,0,0,-12.1089020893716,-77.0114869996905
194,0,4,0,-12.109045,-77.0115922
195,0,0,0,-12.1104533123222,-77.0129588618875
196,0,0,0,-12.1084641262311,-77.0138543844223
197,0,8,0,-12.1091630311407,-77.0101606473327
198,0,0,0,-12.116084021303,-77.0067843873405
199,0,0,0,-12.115025749199,-76.999581676174
200,0,0,0,-12.1181949414449,-77.0081710013819
201,50,1,50,-12.1151581334046,-76.9999644311194
202,70,2,140,-12.116348279045,-77.000275936377
203,50,1,50,-12.1153973278089,-77.0047579196042
204,30,2,60,-12.1188989189568,-77.003914140281
205,40,1,40,-12.117617677175,-77.0033224185006
206,0,0,0,-12.1176974338588,-77.0019377298649
207,50,1,50,-12.1169408048251,-77.0011897822942
208,150,2,300,-12.06271565,-76.94132913
209,70,1,70,-12.0625492371731,-76.94141672
210,0,0,0,-12.06158448,-76.94198426
211,80,1,80,-12.05894803,-76.9430035
212,0,0,0,-12.0576640593562,-76.9442460313439
213,0,0,0,-12.0579350832962,-76.944191716683
214,50,2,100,-12.0527110701794,-76.9426219537854
215,0,0,0,-12.0542980301951,-76.9413797557354
216,0,0,0,-12.05443181,-76.94145486
217,0,0,0,-12.05403638,-76.94123592
218,0,0,0,-12.05338455,-76.94021367
219,0,0,0,-12.0538120670356,-76.9399120845617
220,0,0,0,-12.05392392,-76.93956994
221,0,0,0,-12.0539902243875,-76.9384254702152
222,0,0,0,-12.05945296,-76.9393862
223,0,0,0,-12.05971658,-76.94042858
224,5,1,5,-12.0426186220833,-76.926133157757
225,0,0,0,-12.0413951816652,-76.9238299246176
226,40,2,80,-12.05372358,-76.95144977
227,80,1,80,-12.05358915,-76.95152923
228,150,2,300,-12.0536383281218,-76.9517129659653
