,latitude,longitude,cluster_index,cluster_name,demand
139,-12.142582791868698,-77.0189247653606,0,0,down
140,-12.1375850088129,-77.02153674457159,0,0,down
141,-12.1373636959763,-77.0208936514278,60,0,down
142,-12.1370289392991,-77.020343576514,0,0,down
143,-12.137144474188199,-77.02036709734399,0,0,down
144,-12.1370157809477,-77.0195604038802,0,0,down
145,-12.1554843451272,-77.02133841812609,0,0,down
146,-12.136338239776302,-77.0197612192478,0,0,down
147,-12.1360081575367,-77.021560138526,0,0,down
148,-12.143424751470802,-77.0184912167931,0,0,down
149,-12.1430633671575,-77.0183076486893,0,0,down
150,-12.1413077065555,-77.02214944226891,0,0,down
151,-12.1426665281229,-77.01855887904559,0,0,down
152,-12.1417003125525,-77.019410057824,30,0,down
153,-12.1417508623887,-77.02062670642559,0,0,down
154,-12.1503977436514,-77.02043254644241,30,0,down
155,-12.1356872529093,-77.020477243035,0,0,down
156,-12.155567595942,-77.0215016975999,20,0,down
157,-12.155616432037801,-77.0215898752213,70,0,down
158,-12.142021296876399,-77.02070742845541,0,0,down
159,-12.1181670354057,-77.0248215099537,140,0,down
160,-12.118303772502802,-77.024741805555,84,0,down
161,-12.118327115646998,-77.02474616239691,30,0,down
162,-12.1182827466397,-77.0247832443135,30,0,down
163,-12.118333388201401,-77.0249169237604,10,0,down
164,-12.1522493871366,-77.021677122579,0,0,down
165,-12.153691801062,-77.02117322257409,15,0,down
166,-12.155047911282498,-77.0207780326014,0,0,down
167,-12.1551468482336,-77.0210831100481,40,0,down
168,-12.1548266040506,-77.0213441279511,15,0,down
169,-12.1553342971595,-77.0225116268187,0,0,down
170,-12.1531284358077,-77.02234801726979,0,0,down
171,-12.153152560820198,-77.02229068113401,40,0,down
172,-12.153082292393,-77.0224541600098,0,0,down
173,-12.148304052661901,-77.02027275169429,30,0,down
174,-12.1414116332943,-77.0220304280519,30,0,down
175,-12.1419521361854,-77.01853919774291,0,0,down
176,-12.1419291918764,-77.0213126018643,0,0,down
177,-12.1422717174273,-77.0201522111893,0,0,down
178,-12.1181355927603,-77.02487756768241,1400,0,down
179,-12.1107693253603,-77.02466871589421,0,0,down
180,-12.116940804825099,-77.0011897822942,50,0,down
181,-12.1128591324575,-77.0234697684646,0,0,down
182,-12.0913922,-77.0379104,45,0,down
183,-12.0910028,-77.03561140000001,84,0,down
184,-12.101359254105502,-77.035934664309,0,0,down
185,-12.101197308156099,-77.036138176918,0,0,down
186,-12.1037484371928,-77.03617136925459,20,0,down
187,-12.1032591,-77.03072009999998,260,0,down
188,-12.103233099999999,-77.0306406,0,0,down
189,-12.103308,-77.0311031,0,0,down
190,-12.1033049,-77.0313276,63,0,down
191,-12.102503850192099,-77.0307034414446,270,0,down
192,-12.103120000188401,-77.03064937144521,120,0,down
193,-12.1004714,-77.0303379,18,0,down
194,-12.101110762102499,-77.0308002457023,60,0,down
195,-12.1006773757606,-77.0308713242412,70,0,down
196,-12.1008491568153,-77.03084651380779,20,0,down
197,-12.113176453892901,-77.0227506011724,0,0,down
198,-12.096155298136198,-77.0315073430538,100,0,down
199,-12.110343271458001,-77.04574337847201,0,0,down
200,-12.0985910794812,-77.0308394730091,90,0,down
201,-12.0972629,-77.0313743,28,0,down
202,-12.0961737,-77.03155190000001,36,0,down
203,-12.091128273585598,-77.036468423903,40,0,down
204,-12.105477740999401,-77.04743547372242,0,0,down
205,-12.0918862,-77.0346093,0,0,down
206,-12.098385,-77.0362686,0,0,down
207,-12.1112341654358,-77.0228873938322,0,0,down
208,-12.111134182272101,-77.0231760665774,0,0,down
209,-12.110518219595,-77.023507989943,0,0,down
210,-12.109216137349,-77.02352307736871,90,0,down
211,-12.109148607230502,-77.02375810593371,0,0,down
212,-12.1093092370959,-77.0236806571484,0,0,down
213,-12.096214199999999,-77.03621940000001,0,0,down
214,-12.109937659539002,-77.0200358703732,20,0,down
215,-12.109947166179099,-77.02019210904841,40,0,down
216,-12.109969457609802,-77.0204080268741,0,0,down
217,-12.108916841111501,-77.0202802866697,0,0,down
218,-12.109148935046699,-77.0238047093153,0,0,down
219,-12.108997483942401,-77.02031515538691,0,0,down
220,-12.099007499999999,-77.03610400000001,100,0,down
221,-12.108999778656699,-77.02028833329679,0,0,down
222,-12.110350050719399,-77.0246821269393,0,0,down
223,-12.109845215641698,-77.0235381647944,0,0,down
224,-12.1075107716137,-77.04072374857691,20,0,down
225,-12.1100343650002,-77.0220418274403,0,0,down
226,-12.109990437778098,-77.02159088104959,10,0,down
227,-12.109594436823,-77.020547837019,15,0,down
228,-12.1089201192759,-77.0204653590918,0,0,down
